CustomerID,CardNumber
0,15056453071315
1,15056453588315
2,15056453027428
3,15056453920562
4,15056453139712
5,15056453728136
6,15056453811382
7,15056453319623
8,15056453773603
9,15056453113544
10,15056453466129
11,15056453388773
12,15056453171508
13,15056453557940
14,15056453946043
15,15056453937730
16,15056453042890
17,15056453318771
18,15056453544763
19,15056453173430
20,15056453142341
21,15056453569290
22,15056453482585
23,15056453301291
24,15056453161115
25,15056453492446
26,15056453682387
27,15056453341670
28,15056453387982
29,15056453154730
30,15056453854255
31,15056453071324
32,15056453022276
33,15056453942088
34,15056453266330
35,15056453249612
36,15056453008327
37,15056453169358
38,15056453192306
39,15056453619802
40,15056453350237
41,15056453124572
42,15056453877526
43,15056453898977
44,15056453295672
45,15056453660038
46,15056453789524
47,15056453235629
48,15056453025393
49,15056453984401
50,15056453994415
51,15056453547936
52,15056453707135
53,15056453530403
54,15056453176143
55,15056453740560
56,15056453900620
57,15056453699014
58,15056453595585
59,15056453765726
60,15056453691507
61,15056453158132
62,15056453036543
63,15056453894537
64,15056453059059
65,15056453552669
66,15056453078989
67,15056453643333
68,15056453416061
69,15056453650896
70,15056453494003
71,15056453831271
72,15056453957887
73,15056453078851
74,15056453937983
75,15056453238427
76,15056453666187
77,15056453699443
78,15056453533217
79,15056453646340
80,15056453771382
81,15056453102484
82,15056453827263
83,15056453139950
84,15056453722518
85,15056453811951
86,15056453101816
87,15056453585113
88,15056453543328
89,15056453776990
90,15056453716100
91,15056453586565
92,15056453287944
93,15056453042328
94,15056453660343
95,15056453002535
96,15056453549616
97,15056453561557
98,15056453659551
99,15056453176029
100,15056453790986
101,15056453845543
102,15056453102020
103,15056453749151
104,15056453480871
105,15056453613409
106,15056453150407
107,15056453761174
108,15056453921522
109,15056453868092
110,15056453569118
111,15056453366299
112,15056453916571
113,15056453978738
114,15056453077826
115,15056453087597
116,15056453612486
117,15056453805596
118,15056453574155
119,15056453960613
120,15056453659354
121,15056453500386
122,15056453515086
123,15056453554044
124,15056453269168
125,15056453792311
126,15056453716654
